keggid,name,formula,pubchemID,smile,fp,cid
cpd:C00684,2-Dehydro-3-deoxy-L-arabinonate,C5H8O5,3953,C([C@H](CO)O)C(=O)C(=O)O,00000000000000000000000000000000000000000000000000000010000000000000000010000000001000000110000000000000100001000000000000010000000110001001100000100000111101010000100,192781.0
cpd:C00545,L-Arabinonate,C5H10O6,3826,C([C@@H]([C@@H]([C@H](C(=O)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000111000000000000100001000000000000010000000110000001100000100000111101010000100,6602426.0
cpd:C02670,D-Glucuronolactone,C6H8O6,5641,C(=O)[C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000000100000100000010000000000000000000000000010001000100001101100100100010101001010000110,92283.0
cpd:C00333,D-Galacturonate,C6H10O7,3627,[C@@H]1([C@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000000000000100000000100000000000000000000000010001000100000101100100100010101001010001110,439215.0
cpd:C01115,"L-Galactono-1,4-lactone",C6H10O6,4347,C([C@@H]([C@@H]1[C@H]([C@@H](C(=O)O1)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001100000101000010000000100001000000000000010001000110000101100100100010111101010000110,6857365.0
cpd:C00800,L-Gulonate,C6H12O7,4058,C([C@@H]([C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000111000000000000100001000000000000010000000110000001100000100000111101010000100,6857417.0
cpd:C03921,2-Dehydro-3-deoxy-D-glucarate,C6H8O7,6650,C([C@@H]([C@@H](C(=O)O)O)O)C(=O)C(=O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000000000000111000000000000100000000000000000010000000110001001100000100000101101010000100,440165.0
cpd:C20889,"D-Galactaro-1,5-lactone",C6H8O7,254741352,[C@@H]1([C@H]([C@H](OC(=O)[C@@H]1O)C(=O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000000000000100000000100000000000000000000000010001000100001101100100100010101001010001110,53321658.0
cpd:C16221,(2E)-Octadecenoyl-[acp],C18H33OSR,47205529,,,
cpd:C16220,(R)-3-Hydroxyoctadecanoyl-[acp],C18H35O2SR,47205528,,,
cpd:C05764,Hexadecanoyl-[acp],C16H31OSR,8059,,,
